DATABASE_ID,MODEL_NAME,BASE_MODEL,PLATFORM,TRIGGER_TYPE,TRIGGER_GROUP_SPRINGS,GRADE,COMBO,GAUGE_1,GAUGE_2,BARREL_CONFIG,DISCIPLINE,RIB_TYPE,RIB_ADJUSTABLE_NOTCH,RIB_HEIGHT,RIB_STYLE_1,RIB_STYLE_2,RIB_STYLE_3
222_MX8_SCO_Gold,MX8 SCO Gold,MX8,MX,Removable,Flat Springs or Coil Springs,SCO Gold,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
223_MX8_SCO_Gold,MX8 SCO Gold,MX8,MX,Removable,Flat Springs or Coil Springs,SCO Gold,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
224_MX8_SCO_Gold,MX8 SCO Gold,MX8,MX,Removable,Flat Springs or Coil Springs,SCO Gold,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
225_MX8_SCO_Gold_Sideplates,MX8 SCO Gold Sideplates,MX8,MX,Removable,Flat Springs or Coil Springs,SCO Gold Sideplates,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
226_MX8_SCO_Gold_Sideplates,MX8 SCO Gold Sideplates,MX8,MX,Removable,Flat Springs or Coil Springs,SCO Gold Sideplates,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
227_MX8_SCO_Gold_Sideplates,MX8 SCO Gold Sideplates,MX8,MX,Removable,Flat Springs or Coil Springs,SCO Gold Sideplates,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
228_MX8_SCO_Sideplates,MX8 SCO Sideplates,MX8,MX,Removable,Flat Springs or Coil Springs,SCO Sideplates,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
229_MX8_SCO_Sideplates,MX8 SCO Sideplates,MX8,MX,Removable,Flat Springs or Coil Springs,SCO Sideplates,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
230_MX8_SCO_Sideplates,MX8 SCO Sideplates,MX8,MX,Removable,Flat Springs or Coil Springs,SCO Sideplates,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
231_MX8_Vintage,MX8 Vintage,MX8,MX,Removable,Flat Springs or Coil Springs,Standard,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,4mm,Step,,
232_TM9,TM9,TM9,TM,Removable,Flat Springs or Coil Springs,Standard,,12 GA,,Top Single,Trap,Fixed,,6mm,Ramp,,
233_TM9X,TM9X,TM9X,TM,Removable,Flat Springs or Coil Springs,Standard,,12 GA,,Top Single,Trap,Adjustable,4,19mm,Notch,,
234_High_Tech_60th_Anniversary,High Tech 60th Anniversary,High Tech,HT,Removable,Flat Springs or Coil Springs,Limited Edition,,12 GA,,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
235_High_Tech_CO,High Tech CO,High Tech CO,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,,Top Single,Trap,Fixed,,2mm,Ramp,,
236_High_Tech_S_20,High Tech S 20,High Tech S 20,HT,Fixed,Coil Springs,Standard,,20 GA,,Over / Under,"Sporting, Game",Fixed,,,Flat,,
237_High_Tech_Skeet,High Tech Skeet,High Tech,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,20 GA,Over / Under,Skeet,Fixed,,,Flat,,
238_MXS,MXS,MXS,MX,Fixed,Coil Springs,Standard,,12 GA,20 GA,Over / Under,Sporting,Fixed,,,Flat,,
